+91 9664274075,"Beverages, Ice Cream",150,"27, Juhu Beach, Juhu Tara Road, Juhu, Mumbai","19.0980830415,72.8264902532","{'Mon': '9am – 11:30pm', 'Tue': '9am – 11:30pm', 'Wed': '9am – 11:30pm', 'Thu': '9am – 11:30pm', 'Fri': '9am – 11:30pm', 'Sat': '9am – 11:30pm', 'Sun': '9am – 11:30pm'}",False,False,False,
+91 8655537716,"North Indian, Fast Food, Street Food",350,"1st Floor, DDA market, RBI Colony, Paschim Vihar, New Delhi","28.6649550000,77.0954600000","{'Mon': '9am – 4pm, 7pm – 12midnight', 'Tue': '9am – 4pm, 7pm – 12midnight', 'Wed': '9am – 4pm, 7pm – 12midnight', 'Thu': '9am – 4pm, 7pm – 12midnight', 'Fri': '9am – 4pm, 7pm – 12midnight', 'Sat': '9am – 4pm, 7pm – 12midnight', 'Sun': '9am – 4pm, 7pm – 12midnight'}",False,False,True,
+91 9967961945 +91 9892001987,Bakery,350,"2 Vedant Chemners, Beside Ved Hospital Kalyan, Kalyan, Mumbai","19.2465787044,73.1091478094","{'Mon': '10am – 10pm', 'Tue': '10am – 10pm', 'Wed': '10am – 10pm', 'Thu': '10am – 10pm', 'Fri': '10am – 10pm', 'Sat': '10am – 10pm', 'Sun': '10am – 10pm'}",False,False,False,
+91 8969107977,"Chinese, Beverages",150,"Phd Chowk, Opposite Medica Hospital, Booty Road, Bariatu, Ranchi","23.3971670000,85.3789440000","{'Mon': '11am – 10pm', 'Tue': '11am – 10pm', 'Wed': '11am – 10pm', 'Thu': '11am – 10pm', 'Fri': '11am – 10pm', 'Sat': '11am – 10pm', 'Sun': '11am – 10pm'}",True,False,False,
+91 8666612777,"Sandwich, Pizza, Beverages, Burger, Fast Food",250,"G2 Sagari Apartment, Hotel Fortune Murali Park Road, Labbipet, Vijayawada","16.5027900000,80.6465890000",,True,False,False,
+91 9021808270,"Continental, Seafood, Goan, Italian",900,"Near Ajoba Temple, Ashwem Beach, Mandrem, Ashwem, Goa","15.6498862090,73.7163935602","{'Mon': '6am – 12midnight', 'Tue': '6am – 12midnight', 'Wed': '6am – 12midnight', 'Thu': '6am – 12midnight', 'Fri': '6am – 12midnight', 'Sat': '6am – 12midnight', 'Sun': '6am – 12midnight'}",False,False,False,
091 7700050050,"Biryani, North Indian, Mughlai",700,"Chandra Layout, Vijay Nagar, Bangalore","12.9615777046,77.5263051689","{'Mon': '10am – 12midnight', 'Tue': '10am – 12midnight', 'Wed': '10am – 12midnight', 'Thu': '10am – 12midnight', 'Fri': '10am – 12midnight', 'Sat': '10am – 12midnight', 'Sun': '10am – 12midnight'}",True,False,True,"Gulab Jamun , Raita , Murgh Biryani , Vegetable Biryani , Mutton Biryani , Buttermilk , Basmati Rice"
0832 2312085,"South Indian, North Indian, Fast Food",250,"Opposite Dada Vaidya Chowk, Near Bus Stand, Ponda, Goa","15.3997661839,74.0047042072","{'Mon': '6:30am – 10:30pm', 'Tue': '6:30am – 10:30pm', 'Wed': '6:30am – 10:30pm', 'Thu': '6:30am – 10:30pm', 'Fri': '6:30am – 10:30pm', 'Sat': '6:30am – 10:30pm', 'Sun': '6:30am – 10:30pm'}",False,False,False,
+91 9717535244,Fast Food,300,"Shop 5, 9/63, Near Petrol Pump, Subhash Nagar, New Delhi","28.6364504784,77.1186848357","{'Mon': '9am – 11pm', 'Tue': '9am – 11pm', 'Wed': '9am – 11pm', 'Thu': '9am – 11pm', 'Fri': '9am – 11pm', 'Sat': '9am – 11pm', 'Sun': '9am – 11pm'}",True,False,False,
080 40424242,"Continental, Zdrowe jedzenie, Chińska, North Indian, Biryani, Pizza, Desery, Fast Food",0,,"12.9268314192,77.6697601005","{'Pon': '8am do 11:40pm', 'Wt': '8am do 11:40pm', 'Śr': '8am do 11:40pm', 'Czw': '8am do 11:40pm', 'Pt': '8am do 11:40pm', 'Sb': '8am do 11:40pm', 'Nd': '8am do 11:40pm'}",False,False,False,"Salad , Noodle , Pasta , Sandwich , Chocolate Mousse , Fish , Spaghetti"
+91 9893381790,Fast Food,400,"Madhav Ganj Square, Kampoo Road, Lashkar, Gwalior","26.1969230000,78.1467081000","{'Mon': '12midnight – 10pm', 'Tue': '12midnight – 10pm', 'Wed': '12midnight – 10pm', 'Thu': '12noon – 10pm', 'Fri': '12midnight – 10pm', 'Sat': '12midnight – 10pm', 'Sun': '12midnight – 10pm'}",True,False,False,
+91 8420021132,"North Indian, Chinese, Mughlai",450,"14L/1A, Dum Dum Road, Dum Dum, Kolkata","22.6195217001,88.3920083195","{'Mon': '4pm – 10pm', 'Tue': '4pm – 10pm', 'Wed': '4pm – 10pm', 'Thu': '4pm – 10pm', 'Fri': '4pm – 10pm', 'Sat': '4pm – 10pm', 'Sun': '4pm – 10pm'}",True,False,False,"Chicken Kaviraji , Fish Fry , Mutton Afgani , Mutton Kasha , Mutton Kaviraji , Fries , Crispy Chicken"
+91 7350693646,North Indian,100,"Shop 64, Perfect Corporative Society, Indraprasth Nagar, Near, Pratap Nagar, Nagpur","21.1063890410,79.0394891426","{'Mon': '1pm – 12midnight', 'Tue': '1pm – 12midnight', 'Wed': '1pm – 12midnight', 'Thu': '1pm – 12midnight', 'Fri': '1pm – 12midnight', 'Sat': '1pm – 12midnight', 'Sun': '1pm – 12midnight'}",False,False,False,
+91 9537174839,0,0,"Opp Old Bus Station, Sasan Road, Talala, Junagadh - 362150, Veravad Highway, Moti Palace Township, Junagadh","0.0000000000,0.0000000000","{'Mon': '8am – 11pm', 'Tue': '8am – 11pm', 'Wed': '8am – 11pm', 'Thu': '8am – 11pm', 'Fri': '8am – 11pm', 'Sat': '8am – 11pm', 'Sun': '10am – 2:30pm'}",False,False,False,
0250 2514255 +91 9665121214,"Bakery, Fast Food",200,"18, Dhaiwat, Viva Swarganga Complex, Agashi Road, Bolinj, Virar West, Virar, Mumbai","19.4469090564,72.8006860614","{'Mon': '8am – 11pm', 'Tue': '8am – 11pm', 'Wed': '8am – 11pm', 'Thu': '8am – 11pm', 'Fri': '8am – 11pm', 'Sat': '8am – 11pm', 'Sun': '8am – 11pm'}",False,False,False,
+91 9819590220,"Bakery, Fast Food",200,"Proviso Complex, Near IDBI Bank, Plot 5-7, Sector 35 E, Kharghar, Navi Mumbai","19.0266454020,73.0595098436","{'Mon': '9am – 10pm', 'Tue': '9am – 10pm', 'Wed': '9am – 10pm', 'Thu': '9am – 10pm', 'Fri': '9am – 10pm', 'Sat': '9am – 10pm', 'Sun': '9am – 10pm'}",False,False,False,
+91 7310109041 18602100000,"Pizza, Fast Food",400,"Ground Floor, Plot 1089/1, Near Bharat Petroleum, Shivpuri Jhansi Road, Tilak Market, Elite Chowk, Civil Lines, Jhansi","30.2458000000,78.5643000000","{'Mon': '10:57am – 11pm', 'Tue': '10:57am – 11pm', 'Wed': '10:57am – 11pm', 'Thu': '10:57am – 11pm', 'Fri': '10:57am – 11pm', 'Sat': '10:57am – 11pm', 'Sun': '10:57am – 11pm'}",True,False,False,
+91 8434859357,"North Indian, Chinese",200,"Shop No-10, New Punaichak Near SBI Rajbanshi Nagar, Opp. R.D Tower Appartment Singh Market Rajbansi Nagar, Patna","25.6084830000,85.1100230000","{'Mon': '11am – 10pm', 'Tue': '11am – 10pm', 'Wed': '11am – 10pm', 'Thu': '11am – 10pm', 'Fri': '11am – 10pm', 'Sat': '11am – 10pm', 'Sun': '11am – 10pm'}",False,False,False,
+91 8968428813,North Indian,150,"1, Milap Chowk, Near Rajmahal Hotel, Shastri Nagar, Jalandhar","31.3282872000,75.5784783000","{'Mon': '10am – 10pm', 'Tue': '10am – 10pm', 'Wed': '10am – 10pm', 'Thu': '10am – 10pm', 'Fri': '10am – 10pm', 'Sat': '10am – 10pm', 'Sun': '10am – 10pm'}",False,False,False,
+91 9000597939,Street Food,150,"Downwards Manipuram Bridge, Lakshmipuram, Guntur","16.3134054037,80.4376566410","{'Mon': '6pm – 11pm', 'Tue': '6pm – 11pm', 'Wed': '6pm – 11pm', 'Thu': '6pm – 11pm', 'Fri': '6pm – 11pm', 'Sat': '6pm – 11pm', 'Sun': '6pm – 11pm'}",False,False,False,
+91 9591075758,"Mithai, Desserts, Street Food",200,"Inside Flourish Inn Hotel, 256/A, Hauz Rani Market, Malviya Nagar, Saket, New Delhi","28.4505635755,77.0753055355","{'Mon': '11am – 11pm', 'Tue': '11am – 11pm', 'Wed': '11am – 11pm', 'Thu': '11am – 11pm', 'Fri': '11am – 11pm', 'Sat': '11am – 11pm', 'Sun': '11am – 11pm'}",True,False,False,
+91 7007948024,"South Indian, Chinese, Fast Food",100,"Rajeev Nagar, Nagra, Jhansi","25.4290589802,78.5510334000","{'Mon': '10am – 10pm', 'Tue': '10am – 10pm', 'Wed': '10am – 10pm', 'Thu': '10am – 10pm', 'Fri': '10am – 10pm', 'Sat': '10am – 10pm', 'Sun': '10am – 10pm'}",False,False,False,
+91 9158681062,North Indian,150,"Shop 82/28, Sagar Colony, Shastri Nagr, DP Road, Kothrud, Pune","18.5025557683,73.8008134067","{'Mon': '10am – 9pm', 'Tue': '10am – 9pm', 'Wed': '10am – 9pm', 'Thu': '10am – 9pm', 'Fri': '10am – 9pm', 'Sat': '10am – 9pm', 'Sun': '10am – 9pm'}",True,False,False,
Not Available,"Fast Food, Burger",200,"Naigaon Corss Road, Dadar East, Mumbai","19.0166371199,72.8432557359","{'Mon': '9am – 11pm', 'Tue': '9am – 11pm', 'Wed': '9am – 11pm', 'Thu': '9am – 11pm', 'Fri': '9am – 11pm', 'Sat': '9am – 11pm', 'Sun': '9am – 11pm'}",True,False,False,
