name,city,area,rating,rating_count,cusine,cost_for_two,online_order,table_reservation,delivery_only
Kota Dhani,Kota,Ladpura,0.0,0,"Chinese, Indian",150.0,False,False,False
Mio Amore,Kolkata,Sealdah Area,3.8,158,Bakery,150.0,False,False,False
Big Straw Blast,Bengaluru,Sahakara Nagar,3.5,13,Beverages,150.0,True,False,False
Little Tintin Restaurant,Kolkata,Konnagar,3.1,62,"North Indian, Bengali, Chinese",400.0,True,False,False
La Feasta,Ahmedabad,Bodakdev,3.6,108,Italian,900.0,False,False,False
Ahmadia Restaurant,Chennai,Parrys,3.2,5,"Chinese, North Indian, Hyderabadi",400.0,False,False,False
Love Triangle Bakers And Cafe,Delhi NCR,Vasundhara,0.0,0,"Bakery, Desserts",300.0,False,False,False
Noor Dhaba,Amritsar,Ranjit Avenue,3.3,0,"North Indian, Chinese, Beverages",300.0,False,False,False
Feast & Beast Restaurant,Varanasi,Durgakund,0.0,0,Fast Food,200.0,False,False,False
Mata Pithori Devi Hotel,Mumbai,Ambernath,3.2,11,"Fast Food, Seafood, Malwani",350.0,True,False,False
Agri Spice,Mumbai,"Panch Pakhadi, Thane West",3.3,14,"North Indian, Chinese",450.0,True,False,False
Bakes & Beans,Amritsar,Ranjit Avenue,4.2,167,"Italian, Cafe",300.0,True,False,False
Hawk Wings,Thrissur,Poothole,0.0,0,Finger Food,300.0,False,False,False
Yummylicious,Chennai,Kilpauk,0.0,0,Bakery,350.0,False,False,False
Soniya's Royal Cafe,Chennai,Kodambakkam,0.0,0,"North Indian, Chinese",300.0,False,False,False
Priyanka,Guwahati,Beltola,3.9,64,"Fast Food, Bakery, Desserts, Momos",150.0,False,False,False
Halal Food,Delhi NCR,"Sector 62, Noida",3.3,0,"Chinese, Rolls",250.0,False,False,False
Teng Fast Food Corner,Chandigarh,"Sector 37, Chandigarh",0.0,0,"Fast Food, North Indian",500.0,False,False,False
Pizza Loves Shakes,Hyderabad,Gachibowli,3.3,0,"Pizza, Beverages",250.0,True,False,False
Mysore Express,Ahmedabad,Chandkheda,3.3,0,South Indian,300.0,False,False,False
Calavara's Hot Pot,Kochi,Edappally,0.0,0,Kerala,500.0,False,False,False
Noor Non-Veg,Jhansi,Sipri Bazaar,3.3,0,North Indian,150.0,False,False,False
Karachi Bakery,Hyderabad,Tolichowki,4.1,398,"Bakery, Fast Food, Desserts",450.0,False,False,False
Antique Caterers,Jaipur,Mansarovar,3.3,0,North Indian,300.0,False,False,False
Datta Bhel,Mumbai,Kharghar,3.2,0,Street Food,100.0,True,False,False
Mainland Punjab,Delhi NCR,Rohini,0.0,0,"North Indian, Biryani",850.0,True,False,False
Hotel Classic Food,Pune,Lohegaon,3.3,10,Maharashtrian,300.0,True,False,False
Bake House,Delhi NCR,Najafgarh,0.0,0,"Bakery, Desserts",300.0,False,False,True
Salad Express,Mumbai,South Mumbai,3.5,19,Salad,200.0,True,False,True
De Lawn Cafe and Restaurant,Bengaluru,International Airport,3.5,9,Cafe,500.0,False,False,False
Kathleen,Kolkata,Behala,2.9,21,"Bakery, Fast Food",150.0,False,False,False
Hide Out,Delhi NCR,Mukherjee Nagar,3.4,20,Fast Food,100.0,False,False,False
Peter's Shack,Goa,Calangute,0.0,0,"North Indian, Goan, Seafood, Continental, Chinese",550.0,False,False,False
The Chai Bar,Indore,New Palasia,3.9,282,"Cafe, Fast Food",300.0,True,False,False
Ram Namkeen & Sweet Home,Jodhpur,Chopasni Housing Board,0.0,0,Mithai,150.0,False,False,False
Mumbai Kulfi,Chennai,Porur,0.0,0,"Ice Cream, Desserts",150.0,True,False,False
Spicy Tadka,Delhi NCR,"Sector 10, Faridabad",3.5,87,"North Indian, Mughlai, Chinese",350.0,True,False,False
Roll Up,Delhi NCR,Rohini,3.7,223,"Fast Food, Rolls",300.0,True,False,False
Great Punjab,Mumbai,Kalyan,3.7,673,"Malwani, North Indian, Seafood, Biryani",500.0,True,False,False
Whaatsup Foods,Mumbai,Bandra East,0.0,0,"North Indian, Chinese",400.0,False,False,False
Spice Squire,Gorakhpur,Golghar,3.3,7,"North Indian, Biryani, Fast Food",250.0,True,False,False
Cafe Creme,Nashik,Nashik Road,3.7,63,"Desserts, Cafe",300.0,True,False,False
Shri Mohan Bhog Dugdh Bhandar,Lucknow,Rajajipuram,3.3,14,"Mithai, Fast Food",150.0,False,False,False
Biryani Chronicles,Delhi NCR,DLF Phase 3,2.9,54,"Biryani, Mughlai",700.0,True,False,False
Chinese Hat Ke,Delhi NCR,Uttam Nagar,3.3,0,Chinese,400.0,True,False,False
Domino's Pizza,Hyderabad,S P Road,3.8,408,"Pizza, Fast Food",400.0,True,False,False
Chicken Express,Delhi NCR,Rohini,3.3,0,North Indian,250.0,False,False,False
Alibi - Maya International Hotel,Bengaluru,Church Street,1.8,226,"North Indian, Continental, Chinese",300.0,False,False,False
Chennai Kulfi,Salem,Gugai,0.0,0,"Desserts, Ice Cream",250.0,False,False,False
Buns,Chandigarh,"Sector 44, Chandigarh",3.8,116,Fast Food,500.0,True,False,False
McDonald's,Ahmedabad,Navrangpura,4.1,462,"Burger, Fast Food",500.0,True,False,False
Hotel Om Brahma,Salem,Alagapuram Pudur,0.0,0,South Indian,100.0,True,False,False
Mukharuchi Sweets,Kolkata,Beliaghata,3.4,15,Mishti,150.0,False,False,False
Flurys,Mumbai,Seawoods,2.4,46,"Fast Food, Bakery, Desserts",300.0,False,False,False
Fishland 15,Bengaluru,Majestic,3.8,60,"Mangalorean, Seafood",600.0,False,False,False
Cafe Mondegar,Mumbai,Colaba,4.2,5335,"Continental, Italian, Chinese, Fast Food",300.0,False,False,False
Sound Check,Chandigarh,Chandigarh Industrial Area,3.6,117,"North Indian, Chinese, Continental",200.0,False,False,False
New Airport Restaurant,Mumbai,Marol,3.9,381,"North Indian, Mughlai",600.0,False,False,False
Marky Momos,Delhi NCR,"Sector 50, Gurgaon",3.6,230,"Momos, Fast Food, Chinese",500.0,True,False,False
Hotel OCH,Mumbai,Colaba,3.5,53,"South Indian, North Indian, Chinese, Beverages",400.0,False,False,False
Five Star Chicken,Bengaluru,Vijay Nagar,3.3,25,Fast Food,200.0,True,False,False
09 Street Cafe,Indore,Bhawar Kuan,3.7,36,Cafe,350.0,True,False,False
Kulcha Ji,Delhi NCR,Uttam Nagar,0.0,0,Street Food,100.0,False,False,False
Singh Corner Kathi Roll,Delhi NCR,Vaishali,3.3,0,Rolls,150.0,False,False,False
Mark Restaurant,Pune,Viman Nagar,3.5,16,"North Indian, Chinese",500.0,False,False,False
Cafe Craft,Guwahati,Silpukhuri,4.1,262,Cafe,600.0,False,False,False
Tarini Restaurant,Hyderabad,Kondapur,3.2,15,"North Indian, Chinese",500.0,True,False,False
Vaigai Express,Bengaluru,Whitefield,3.2,9,"South Indian, North Indian, Chinese",400.0,False,False,False
Ajantha Bakery,Chennai,Red Hills,0.0,0,Desserts,150.0,False,False,False
Chinese Delight,Jamshedpur,Bistupur,2.6,16,"Chinese, Momos",450.0,False,False,False
Sri Siddivinayak Tiffen & Snacks,Hyderabad,Manikonda,3.0,8,"South Indian, North Indian",250.0,False,False,False
Wok Express - Chinese Wok,Mumbai,Nerul,3.8,381,"Chinese, Asian, Thai, Beverages",800.0,True,False,False
Chocoberry,Bengaluru,Jayanagar,3.8,71,"Ice Cream, Desserts, Beverages",400.0,True,False,False
Airport - Food court,Guwahati,Borjhar,3.3,0,"North Indian, South Indian, Beverages",500.0,False,False,False
Shri Gurudev Pavitra Bhojnalaya,Jaipur,Tonk Road,0.0,0,North Indian,150.0,False,False,False
Sankranth Family Garden & Restaurant,Bengaluru,Uttarahalli,3.1,6,"South Indian, North Indian, Chinese",550.0,False,False,False
Savya Rasa,Pune,Koregaon Park,4.7,1166,"South Indian, Mangalorean, Kerala, Chettinad",300.0,True,True,False
Adarsh Ji Bhojnalaya,Bhopal,TT Nagar,3.3,0,North Indian,300.0,False,False,False
Cafe Roameo,Delhi NCR,"Sector 14, Gurgaon",3.6,201,"Cafe, North Indian, Chinese, Bakery",400.0,True,False,False
Gopala,Delhi NCR,Greater Kailash 2 (GK2),3.6,27,"Mithai, Street Food, Bakery",300.0,True,False,False
Hotel Chandramay,Pune,Shivapur,3.0,5,"North Indian, Chinese, Street Food",450.0,False,False,False
Zesty Tasty,Bengaluru,Whitefield,3.3,4,"North Indian, Chinese, Fast Food",300.0,False,False,False
Lumbini Food Point,Delhi NCR,"Sector 19, Noida",3.9,238,"North Indian, Chinese",350.0,True,False,False
Delhi Belly,Delhi NCR,Chhatarpur,2.8,11,"Chinese, North Indian, Fast Food",250.0,True,False,False
Food Guru,Ludhiana,Industrial Area,3.3,14,"Fast Food, Pizza",250.0,True,False,False
New Aroma,Bhubaneswar,BJB Nagar,3.2,125,"South Indian, Continental, Chinese, North Indian",600.0,False,False,False
Arora Shahi Namkeen,Jodhpur,Sardarpura,0.0,0,Street Food,100.0,True,False,False
WarmOven Cake & Desserts,Bengaluru,Brookefield,4.1,46,"Bakery, Desserts",500.0,True,False,False
Sharma Ji Shud Bhojanlya,Meerut,Meerut Cantt,0.0,0,North Indian,100.0,False,False,False
Cloud 9 - Hotel Shivalik View,Chandigarh,"Sector 17, Chandigarh",3.6,105,"North Indian, Mexican, Continental",300.0,False,False,False
Hyderabad Sweets & Bakers,Hyderabad,Chandrayanagutta,3.4,13,"Desserts, Bakery, Mithai",200.0,False,False,False
Subhan Bakery,Hyderabad,Nampally,4.6,848,"Bakery, Fast Food",150.0,True,False,False
Baskin Robbins,Bengaluru,Hennur,3.1,19,"Ice Cream, Desserts, Beverages",200.0,True,False,False
Palm Grove Multi Cuisine Restaurant,Delhi NCR,Paharganj,3.3,0,"South Indian, Chinese, North Indian",500.0,False,False,False
Bangalore Iyengar's Bakery,Mumbai,"Panch Pakhadi, Thane West",3.2,6,"Bakery, Fast Food",100.0,False,False,True
Melodrama,Kolkata,Jodhpur Park,4.4,389,"Bakery, Desserts",400.0,False,False,False
Blu Jerry's Natural,Meerut,Meerut Cantt,0.0,0,Desserts,150.0,False,False,False
Vijaya Traders,Trivandrum,Peroorkada,3.3,0,"Italian, Burger, Sandwich, Ice Cream, Salad, Juices",200.0,False,False,False
Garma Garam,Mumbai,"Vasant Vihar, Thane West",3.4,16,"North Indian, Chinese, Seafood",600.0,True,False,False
Eat Well Restaurant,Amritsar,Ranjit Avenue,0.0,0,"North Indian, Mughlai",500.0,False,False,False
Paahalwan Mohali,Chandigarh,Kharar Road,3.3,150,"North Indian, Chinese, Desserts",650.0,True,True,False
Blue Box Food,Mumbai,Airoli,0.0,0,"North Indian, Chinese, Italian",400.0,False,False,False
OA---NT  Food,Delhi NCR,Dwarka,0.0,0,South Indian,150.0,False,False,True
Marwadi Tadka,Jaipur,Mansarovar,0.0,0,"North Indian, Rajasthani",300.0,False,False,False
Rasoi by Atithi House,Delhi NCR,Knowledge Park,3.8,1056,"North Indian, Chinese, Beverages",300.0,True,True,False
Infamous Bistro & Bar,Dehradun,Jakhan,4.3,300,Cafe,500.0,True,False,False
Yumla,Chandigarh,Ambala Road,2.8,60,"Pizza, Cafe, Burger, Fast Food, Beverages",350.0,True,False,False
Domino's Pizza,Delhi NCR,Naraina,3.8,409,"Pizza, Fast Food",400.0,True,False,False
Cafebility,Varanasi,Chetganj,4.5,288,"Cafe, Continental",600.0,True,False,False
Hotel Vishal Pure Veg,Mumbai,Vasai,3.2,82,"South Indian, North Indian, Chinese",450.0,False,False,False
